Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT
Date,,,,,,,,,,,,,,,
2024-12-30,251.30787658691406,192.06797790527344,422.50836181640625,252.60328106925755,193.1544556150159,425.21349868579347,249.86300878941353,189.74549757657897,419.59438106008827,251.33776924994547,190.24887224804684,423.7316509986102,35557500,12209500,13158700
2024-12-31,249.5341796875,189.8252410888672,419.1965637207031,252.38406352835983,192.62616766511687,424.3979934566231,248.54767617168994,188.96801665543026,418.36115784079396,251.5470385357527,191.82377359456456,423.77143145899026,39480700,14355200,13246500
2025-01-02,242.9874267578125,190.01463317871094,416.2925109863281,248.21885574509324,192.57632906643343,423.74159992080814,240.96460876578237,188.1008329456353,412.5829142901712,248.0494437119358,190.8668688990928,423.2045424399656,55740700,17545200,16896500
2025-01-03,242.49916076660156,192.50657653808594,421.0364685058594,243.31625226562878,193.87214927777333,421.712745134401,241.03435939639962,190.73232363806486,417.2472919522773,242.49916076660156,192.10288510468152,418.77885425500915,40244100,12875000,16662900
2025-01-06,244.1333465576172,197.32098388671875,425.5118713378906,246.45510633108967,198.9158098969417,431.9465149926899,242.33971076643533,194.43033607710257,423.15482788109534,243.4457849039297,194.5200419032114,425.66104554069966,45045600,19483300,20573600
2025-01-07,241.35321044921875,196.07501220703125,420.0617980957031,244.68139184839126,201.48747646329343,428.29654775990844,240.4962520142114,195.30749356553247,418.50037065706186,242.12047569552988,197.62997397768044,426.655570865203,40856000,16966800,18139100
2025-01-08,241.8414764404297,194.75927734375,422.23980712890625,242.84791342439922,197.00201430773126,424.6366402910522,239.20085656180404,193.124571898385,419.2363221421035,241.06423680804883,193.32392325327666,421.14581248112984,37628900,14335300,15054600
2025-01-10,236.01219177246094,192.54641723632812,416.6605224609375,239.3104808095479,196.98204894528143,422.3890244132644,232.17580437363205,190.98149333430706,412.7519761682606,239.16100228470233,194.78915390811107,422.3094749538564,61710900,20753800,20201100
2025-01-13,233.5708465576172,191.66928100585938,414.9101257324219,233.8398957390806,191.86864757329707,416.21296436365594,228.90740850459227,188.051008991777,410.03690951971083,232.7039288898965,190.7323281027571,412.97077003054903,49630700,13169100,17604800
2025-01-14,232.45480346679688,190.4332733154297,413.3984375,235.28475371553364,192.6461081359987,417.4461724776856,231.6476711610837,189.0278212951568,408.4754763868852,233.91960476413306,191.8785895192527,415.5267269300622,39435300,13651200,16935900
2025-01-15,237.028564453125,196.34413146972656,423.9802551269531,238.11472029161553,197.16149175688608,425.8101960648602,233.60073052224158,192.7059199913067,415.984184442192,233.80999436776753,193.72263162353136,416.83950040874134,39832000,12894900,19637800
2025-01-16,227.4525604248047,193.78244018554688,422.25970458984375,237.1680713225123,196.3441362110355,427.1428756329152,227.22337827123218,193.6727946616834,422.07077084126166,236.51041752509497,195.19286581523593,426.35721474684357,71759100,13449600,15300000
2025-01-17,229.16647338867188,196.9123077392578,426.6853942871094,231.4682996512766,198.16823495893416,432.1056227420966,227.67177943063626,194.67953302807754,425.8301086663914,231.2989028272768,197.4106937293802,431.717739483304,68488300,22109100,26197500
2025-01-21,221.85243225097656,198.98558044433594,426.1583251953125,223.62613445935494,203.18198165088893,428.54520356031776,218.6039696546368,198.79619134868744,423.2741792396476,223.20762199269615,199.8627293790569,427.8490471438773,98070400,19005200,26085700
2025-01-22,223.03823852539062,199.38429260253906,443.7615966796875,223.3272060060417,201.4675423346555,444.8257262250376,219.01252087308487,198.55697005615318,433.6173259954359,219.01252087308487,199.90261827692612,435.168798403502,64126500,15477400,27803800
2025-01-23,222.86883544921875,198.9357452392578,444.2687683105469,226.22690964639077,201.28812762165109,444.3085582129765,221.51364566438272,196.18466016542135,439.08724891108926,223.94501691407203,199.33444793070097,439.58451646364995,60234800,15170800,18389300
2025-01-24,221.991943359375,201.24826049804688,441.6332702636719,224.831867935065,201.91611112171262,444.20911262497947,220.6267944226493,199.139093625211,438.98780315861995,223.9848686181573,199.2048900678887,442.727264983927,54697900,12732400,15549500
2025-01-27,229.04690551757812,193.1444854736328,432.1852111816406,231.32879829775732,198.02866145078596,432.82172827375285,223.18770026542342,192.0779322944387,421.18565437157145,223.2275672861503,193.56312782514325,421.69287703242304,94863400,24970200,35647800
2025-01-28,237.4171905517578,196.43386840820312,444.7561340332031,239.3403714135585,196.5933403714479,445.9296782334323,229.99354669273774,191.98825852658302,429.02258057650255,230.03341371427896,194.0216667461431,432.22498499378844,75707600,15939200,23491700
2025-01-29,238.51329040527344,196.54347229003906,439.9127197265625,239.01152170916106,197.81935429110533,444.4378728714111,233.18220937175082,194.55990597999036,437.9932741704639,233.29182086679862,196.73286138104575,444.2489087647689,45486100,12287800,23581400
2025-01-30,236.7495574951172,201.97589111328125,412.7221374511719,239.93823493591583,202.58193012039442,420.5491243253889,236.37091202718113,198.82808076772176,410.9021514578089,237.82573898228924,199.11514547234088,416.4814791520961,55658300,14571500,54586300
2025-01-31,235.16519165039062,204.93630981445312,412.791748046875,246.31561143302469,206.411527975635,418.39098567699745,232.61424963135997,202.92282630706868,412.64257384774635,246.31561143302469,203.0573850388532,416.69033910532374,100959800,17060300,34161900
2025-02-03,227.2034454345703,201.98587036132812,408.6744079589844,231.00994009075862,204.55754385594432,413.1398611878705,224.90161912474946,201.00903809438392,406.4267487485119,229.1764524471141,201.56223923433402,409.350684594608,73063300,16719500,25679100
2025-02-04,231.9765167236328,207.0395050048828,410.116455078125,232.3053512351318,208.02629948497267,411.65800277159144,225.84826207175638,203.6006296665919,407.5008227766752,226.44614576626617,203.83986040606993,410.43471361041793,45067300,28285400,20532100
2025-02-05,231.6476593017578,192.67601013183594,411.0314636230469,231.84694877861298,193.92197499920485,411.5684907814938,227.46251946854915,189.29695401991273,408.1572423104593,227.72159426797964,192.47665879496333,410.0965981017129,39620300,43666400,16316700
2025-02-06,232.39501953125,192.68597412109375,413.5475769042969,232.9729696905443,193.2042997692843,415.9145752087822,229.61488023403817,189.87508526379926,411.737515806655,230.47183871784506,190.37347121526227,411.737515806655,29925300,20816600,16309800
2025-02-07,226.82479858398438,186.53590393066406,407.5107727050781,233.17226081850333,192.39193919392628,416.36212936115334,226.45609706307513,184.50249582506203,405.86979579790295,231.77721918612997,192.11783298882085,414.2040051086223,39707200,29565700,22886800
2025-02-10,227.0941162109375,187.59246826171875,409.96728515625,230.02693972945139,189.3766984774281,413.1895693646485,226.64521806905947,187.00437649187288,408.6744015876666,229.0094413336025,188.4496927028371,411.44913283343,33115600,16606000,20817900
2025-02-11,232.05198669433594,186.46612548828125,409.1915588378906,234.65561423976854,188.19053660602074,410.23580864154656,227.57296005864194,185.47931583791075,407.0632389741584,227.64278121837336,186.2318834848387,407.40140764567894,53718400,13028100,18140600
2025-02-12,236.29161071777344,184.83140563964844,406.8046569824219,236.38140252594314,186.22689542176803,408.5053035519359,230.11672290007743,183.03722839190226,402.1601645834243,230.63545743654387,184.6320543020691,404.98464070295296,45243300,17632300,19121700
2025-02-13,240.9402313232422,187.2735137939453,408.29644775390625,241.74825103145727,187.38315931387632,408.7539254008991,234.99479296308533,184.2831980244079,404.13926797640636,236.33151730066413,185.32979637612,404.775785007703,53614100,12729300,23891700
2025-02-14,244.00274658203125,186.26675415039062,406.1979675292969,244.9504238462646,187.5426209249714,406.6753553081934,240.40156080072015,185.50921300596195,403.66191514014076,240.66092045804314,186.2268899678551,405.5614808415711,40896200,12714200,22758500
2025-02-18,243.87306213378906,185.20022583007812,407.4013977050781,244.58131995427482,187.173829973565,408.3561429609082,241.2494791133952,182.98739095029217,404.2785427328027,243.55383619329416,186.83493117095733,405.7703454735141,48822500,19796000,21423100
2025-02-19,244.27207946777344,186.52593994140625,412.5033264160156,245.40929524371262,186.7551932313241,413.21939292620334,242.56626341463,184.90119679523852,405.4222411212721,244.06260076305156,185.58398314772262,405.65099512827777,32204200,13120500,24114200
2025-02-20,245.22975158691406,186.03750610351562,414.6857604980469,246.17742890005937,186.5159523550358,417.8547165109783,243.69350332551406,184.00409812740568,411.10822380495836,244.34192533458386,185.89795864642505,413.84867949906476,32316900,12063800,23508700
2025-02-21,244.95042419433594,180.99383544921875,406.793212890625,248.08275639920348,186.8648210730536,416.59905745325864,244.6212281548445,180.5452911558963,406.4743466307379,245.34944139409683,186.68539423000573,415.8915301727366,53197400,19520800,27524800
2025-02-24,246.49664306640625,180.6051025390625,402.59783935546875,248.25234005966587,184.49250685544612,407.9491968592537,243.82317911276243,180.2961056843669,397.93408950529806,244.3319283268952,183.20667779988295,407.09219625426255,51326400,18734000,26443700
2025-02-25,246.43678283691406,176.7974395751953,396.5190124511719,249.38956194785018,180.17649594747144,400.52507980230723,244.3119941197594,176.19938551849802,395.3231955078189,247.3944454522674,179.57345316387003,399.7079184567694,48013300,20832500,29387400
2025-02-26,239.77310180664062,174.1360626220703,398.3426818847656,244.3818160551289,177.50515679618596,402.19924554396545,238.54610942000366,173.029645111073,392.88169018272754,243.7334092806253,176.37382606939352,396.6286502127144,44433600,23637200,19619000
2025-02-27,236.72056579589844,169.66055297851562,391.1676330566406,241.86796980219768,176.01994740253818,404.33177619538384,236.48114634623442,169.20402365784025,390.80889711711075,238.82541422357912,175.3720517468169,399.87728914292836,41153600,25930500,21127400
2025-02-28,241.24948120117188,171.66407775878906,395.6121520996094,241.49887076126774,171.94317270641938,396.24994544118493,229.63790389196947,167.84643911355462,385.2283339547379,236.37142201455794,169.7502773138095,391.29719366600983,56833400,30049800,32845700
2025-03-03,237.4487762451172,168.11557006835938,387.14166259765625,243.43412542285543,174.43510093183014,397.4358274187669,235.53346633482454,167.09885836425866,384.8197626823639,241.19958958341564,173.16919622639824,397.4358274187669,47184000,24122000,23007700
2025-03-04,235.35391235351562,172.0528106689453,387.26123046875,239.4838181516717,174.5995557564392,391.21745294280987,234.10696453181083,166.99916947110347,379.67765721488945,237.1295800554318,167.39788738556237,382.06932141422595,53798100,30711400,29342900
2025-03-05,235.1643829345703,174.4251251220703,399.628173828125,235.97240266650644,175.18266631177056,400.27594221038044,228.67026910680244,170.37821831917367,387.4605594414927,234.84515699420854,171.76374589997425,387.9887187604894,47227600,18848000,23433100
2025-03-06,234.75538635253906,173.6476287841797,395.5125427246094,237.27920752401755,176.15948286788355,400.7542663515353,232.59068676229822,171.95111204146954,391.3171323240562,233.86756011302523,171.99298388096355,392.91158534383527,45170400,19082400,23304600
2025-03-07,238.4862518310547,175.18267822265625,391.9449462890625,240.78062356819368,176.32895993375635,393.42976525122566,234.1867631010968,171.69397623813677,384.20192438386283,234.53591456798168,172.68277843809483,390.9583919892802,46273600,16395300,22034100
2025-03-10,226.92454528808594,167.4588623046875,378.840576171875,235.583358769024,170.09333760834892,385.05890917094194,223.6725108894593,165.21856474391475,375.9107776446238,234.96486230654432,169.80395112078375,384.50085520495696,72071200,28990700,32840100
2025-03-11,220.30075073242188,165.6326904296875,379.1296081542969,225.28854176632854,168.30209616396394,384.6603339518935,216.91902902029437,162.8984334954026,375.6018856955347,223.26349982428485,166.3312226673931,377.6846284139058,76137400,23705900,30380200
2025-03-12,216.45018005371094,168.6463623046875,381.9397888183594,221.20853706339403,169.17525204524574,383.883033194115,214.38524243690583,165.13372374937688,377.634805186652,219.60246770742089,168.11747256412926,381.62092254273574,62547500,19880100,24253600
2025-03-13,209.16799926757812,164.3852996826172,377.45538330078125,216.31051974194543,167.76820552881753,383.9826683121219,207.9110813961123,163.72669229913674,376.139987768004,215.42269353923288,167.62849908664165,381.8301614244045,61368300,15206200,20473000
2025-03-14,212.9687042236328,167.26925659179688,387.21142578125,213.4275724686152,167.89794321312493,388.87564310802037,209.06824803363213,164.16576354056602,378.19284770158055,210.73416839029963,164.9690870263586,378.46189966674945,60107600,18611100,19952800
2025-03-17,213.4774627685547,166.22145080566406,387.3509521484375,214.69448503570536,168.1074952719868,391.3470139725856,209.4573042902151,165.4630314005261,384.23181056492524,212.78914514941675,166.97486057411132,385.35789354291256,48073400,17839100,22474300
2025-03-18,212.17066955566406,162.32960510253906,382.1889343261719,214.624654360469,166.091720499798,386.02557849597406,210.97360268345204,158.46770809514283,379.7773502731509,213.6370814211214,165.61272918130422,385.72663184862864,42432400,24616800,19486900
2025-03-19,214.7144317626953,165.9320526123047,386.4739990234375,218.22582565599035,167.78117198389484,388.3275289171194,213.22806456968678,162.70881575318666,382.66724981244226,213.6969181399133,163.571995968084,384.1919384194473,54385400,24955700,19185500
